text;retweet_count;favorited;truncated;id_str;in_reply_to_screen_name;source;retweeted;created_at;in_reply_to_status_id_str;in_reply_to_user_id_str;lang;listed_count;verified;location;user_id_str;description;geo_enabled;user_created_at;statuses_count;followers_count;favourites_count;protected;user_url;name;time_zone;user_lang;utc_offset;friends_count;screen_name;country_code;country;place_type;full_name;place_name;place_id;place_lat;place_lon;lat;lon;expanded_url;url
"RT @danielperriard: #RosarioSangra:
Políticos, jueces y policías
#NoSeHaganLosBoludos
Basta de ladrones y asesinos sueltos
Soluciones YA ht…";5;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 04:13:04 +0000 2016;NA;NA;es;0;FALSO;Rosario;222987106;De Rosario, Periodista Deportivo y comerciante. Digo lo que siento y lo que pienso.;VERDADERO;Sun Dec 05 01:49:15 +0000 2010;512;123;341;FALSO;http://autopasion.com.ar;Alfredo Araujo;Buenos Aires;es;-10800;474;alfrearaujo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RT @LaSergioMassaOK: #RosarioSangra #RosarioMarcha Jueves 8, 19:30hs, Desde Tribunales hasta Plaza San Martin. @LaSergioMassaOK https://t.c…;1;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 04:58:04 +0000 2016;NA;NA;es;0;FALSO;Santa Fé, Argentina;7,57E+17;Todo se Puede?????;VERDADERO;Fri Jul 22 18:24:01 +0000 2016;227;3;426;FALSO;NA;Norma;NA;es;NA;19;normdeli;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"RT @GilbertoelGil7: #RosarioSangra Mañana 08-09-2016 desde las 19.30
Desde Tribunales ! Balcarce y Montevideo
#Rosario https://t.co/LNWPB9o…";42;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 05:29:18 +0000 2016;NA;NA;es;2;FALSO;Ciudad Autónoma de Buenos Aire;3080179997;Quien no entiende una mirada jamás entenderá una explicación.;FALSO;Sun Mar 08 20:05:51 +0000 2015;3111;86;915;FALSO;NA;Cara Mel;NA;es;NA;264;c4a28164f6d2496;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RT @Rosario_Plus: #RosarioSangra: cunde en las redes el llamado a la segunda marcha por seguridad ? https://t.co/8CmZh3LQRW https://t.co/Yx…;9;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";FALSO;Thu Sep 08 09:16:39 +0000 2016;NA;NA;es;0;FALSO;NA;709463148;NA;FALSO;Sat Jul 21 19:35:40 +0000 2012;15;3;4;FALSO;NA;javixx;NA;es;NA;28;javixpunkers;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;http://goo.gl/440ffF;https://t.co/8CmZh3LQRW
#RosarioSangra | Hoy se realiza una nueva marcha en reclamo de seguridad. Será a las 19:30 frente a Tribunales. https://t.co/NJ57JtUEne;0;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 09:36:32 +0000 2016;NA;NA;es;30;FALSO;Rosario, Argentina;1204401506;Twitter oficial de Radio Mitre Rosario FM 96.5 | http://facebook.com/MitreRosario;VERDADERO;Thu Feb 21 12:08:10 +0000 2013;12429;2415;86;FALSO;http://player.cienradios.com/Mitre_Rosario;Radio Mitre Rosario;Brasilia;es;-10800;208;MitreRosario;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RT @MitreRosario: #RosarioSangra | Hoy se realiza una nueva marcha en reclamo de seguridad. Será a las 19:30 frente a Tribunales. https://t…;1;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 09:39:02 +0000 2016;NA;NA;es;15;FALSO;Argentina;48437764;Periodista. Perseverante al límite.;VERDADERO;Thu Jun 18 18:18:35 +0000 2009;2127;3550;29;FALSO;http://identigrama.com;Juampy Villa;Buenos Aires;es;-10800;38;juampyv;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"RT @cunadelanoticia: Realizarán #homenaje al policía Mauro Mansilla
https://t.co/SK68CNGBZS #Policía #Muerte #Inseguridad #RosarioSangra ht…";14;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 09:59:31 +0000 2016;NA;NA;es;8;FALSO;Rosario, Santa Fe, Argentina;138033905;"Periodista. Productora de 
@radio2rosario en @TNET2016, redactora http://www.rosarionoticias.info, docente de 
@tearosario y CM. Hobbies: cantar.";FALSO;Wed Apr 28 12:59:20 +0000 2010;3459;522;1063;FALSO;NA;Melina Santi;Santiago;es;-10800;1674;Meli_Santi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;http://www.cunadelanoticia.com/?p=106095;https://t.co/SK68CNGBZS
@Rosariotres mientas ellos se ponen de acuerdo #RosarioSangra;0;FALSO;FALSO;7,74E+17;Rosariotres;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 10:04:07 +0000 2016;7,74E+17;60647069;es;0;FALSO;NA;520005964;NA;VERDADERO;Sat Mar 10 02:06:18 +0000 2012;2255;41;223;FALSO;NA;??????;NA;es;NA;96;GigenaEster;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RT @Rosario_Plus: #RosarioSangra: cunde en las redes el llamado a la segunda marcha por seguridad ? https://t.co/8CmZh3LQRW https://t.co/Yx…;10;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";FALSO;Thu Sep 08 10:08:09 +0000 2016;NA;NA;es;36;FALSO;Rosario, Santa Fe, Argentina;523503530;Periodista. Radio Universidad FM 103.3, @radio_UNR / Canal 5 #RosarioDirecto @Canal5deRosario;VERDADERO;Tue Mar 13 17:58:12 +0000 2012;7804;2322;2096;FALSO;NA;Lisandro Leoni;NA;es;NA;2079;LisandroLeoni;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;http://goo.gl/440ffF;https://t.co/8CmZh3LQRW
"RT @ONGSinergiaC: #RosarioSangra #8S 
Jueves 8 de Septiembre 19.30
De Tribunales a la Gobernación
#RosarioMarcha #BastaDeInseguridad https:…";8;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 10:12:22 +0000 2016;NA;NA;es;0;FALSO;Argentins;330375253;Abogado;FALSO;Wed Jul 06 14:39:16 +0000 2011;682;107;380;FALSO;NA;DamianlGarcia;NA;es;NA;99;DamianLuisGarci;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hoy la ciudad de #Rosario sale nuevamente a reclamar más seguridad y justicia por las víctimas en hechos delictivos #RosarioSangra;0;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 10:21:03 +0000 2016;NA;NA;es;8;FALSO;Rosario, Argentina;463801235;"Prefiero vivir y perder a no haber vivido nada.  ;)
Argentino!";VERDADERO;Sat Jan 14 14:01:59 +0000 2012;7618;700;7789;FALSO;NA;Pablo Gelabert;NA;es;NA;744;Pablogelabert;AR;Argentina;city;Rosario, Argentina;NA;NA;-32,9516155;-60,697406;NA;NA;NA;NA
RT @Rosario_Plus: #RosarioSangra: cunde en las redes el llamado a la segunda marcha por seguridad ? https://t.co/8CmZh3LQRW https://t.co/Yx…;12;FALSO;FALSO;7,74E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Thu Sep 08 10:26:48 +0000 2016;NA;NA;es;1;FALSO;Argentina, Santa Fe, Rosario;147240267;Hincha de Rosario Central! Trabajo en una ferretería, padre y esposo!;VERDADERO;Sun May 23 15:49:00 +0000 2010;1863;73;146;FALSO;NA;OSCAR FAIXAT;America/Argentina/Buenos_Aires;es;-10800;962;OSCARFAIXAT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;http://goo.gl/440ffF;https://t.co/8CmZh3LQRW
